effect_type,query,db_a,db_b,label_a,label_b,p50_a_ms,p50_b_ms,speedup_b_over_a,t_stat,p_value,significant,cliff_delta,cliff_label
schema,Q1,elasticsearch_naive,elasticsearch_optimised,Elasticsearch (naive),Elasticsearch (opt.),61.4962,63.6603,0.97,-12.1344,0.0,True,-0.392,medium
schema,Q2,elasticsearch_naive,elasticsearch_optimised,Elasticsearch (naive),Elasticsearch (opt.),95.5011,1.7787,53.69,120.0951,0.0,True,1.0,large
schema,Q3,elasticsearch_naive,elasticsearch_optimised,Elasticsearch (naive),Elasticsearch (opt.),44.3891,5.4739,8.11,7.4703,0.0,True,0.9105,large
schema,Q4,elasticsearch_naive,elasticsearch_optimised,Elasticsearch (naive),Elasticsearch (opt.),143.8751,144.5339,1.0,-2.5158,0.011956,True,-0.1565,small
schema,Q5,elasticsearch_naive,elasticsearch_optimised,Elasticsearch (naive),Elasticsearch (opt.),47.9194,48.8122,0.98,-5.2758,0.0,True,-0.2783,small
schema,Q6,elasticsearch_naive,elasticsearch_optimised,Elasticsearch (naive),Elasticsearch (opt.),46.2219,46.0676,1.0,0.0219,0.982522,False,0.0289,negligible
schema,Q7,elasticsearch_naive,elasticsearch_optimised,Elasticsearch (naive),Elasticsearch (opt.),48.091,47.8161,1.01,2.4592,0.014011,True,0.0883,negligible
schema,Q1,timescaledb_naive,timescaledb_optimised,TimescaleDB (naive),TimescaleDB (opt.),748.3122,441.9992,1.69,152.088,0.0,True,1.0,large
schema,Q2,timescaledb_naive,timescaledb_optimised,TimescaleDB (naive),TimescaleDB (opt.),11.4443,94.5124,0.12,-141.0241,0.0,True,-1.0,large
schema,Q3,timescaledb_naive,timescaledb_optimised,TimescaleDB (naive),TimescaleDB (opt.),5.671,4.5835,1.24,8.4472,0.0,True,0.2192,small
schema,Q4,timescaledb_naive,timescaledb_optimised,TimescaleDB (naive),TimescaleDB (opt.),2.23,2.0395,1.09,2.7747,0.005577,True,0.4078,medium
schema,Q5,timescaledb_naive,timescaledb_optimised,TimescaleDB (naive),TimescaleDB (opt.),72.7535,70.9545,1.03,-0.3263,0.744264,False,0.0087,negligible
schema,Q6,timescaledb_naive,timescaledb_optimised,TimescaleDB (naive),TimescaleDB (opt.),2.2486,2.2598,1.0,2.912,0.003634,True,-0.0006,negligible
schema,Q7,timescaledb_naive,timescaledb_optimised,TimescaleDB (naive),TimescaleDB (opt.),346.9052,254.7073,1.36,45.1323,0.0,True,0.8397,large
